Studio,Date,Format,Likes,Comments,Caption/Theme,Permalink
Kiln Creations,2026-08-15,Reel,75,2,Rain flooding closure — annoyed but safety first,https://www.instagram.com/reel/DcDzt2UxNkM/
uPaint Pottery Studio,2026-07-28,Reel,50,1,Summer sale coming,https://www.instagram.com/reel/DbV3_WsR_32/
Made In Muncie,2026-08-12,Feed,186,0,Progress new location Fall opening,https://www.instagram.com/p/Db9GJhbEtjN/
All Fired Up!,2026-07-23,Reel,140,0,Purdue puzzle mugs custom,https://www.instagram.com/reel/DbJVZFdR11i
The Glazed Gypsy,2026-08-05,Feed,6,0,Augtober autumn inventory,
Color Me Mine,2026-08-11,Reel,245,0,Creative time self care,
Fired Arts Studio,2026-08-07,Feed,5,0,Goose is Loose painting event Aug 8,
Oh Slip Ceramics,2026-08-05,Reel,5,1,"Adult Wheel Throwing Workshop Sep dates, 2 spots, 3hr, $95 all materials",https://www.facebook.com/reel/1771556927189490/
Oh Slip Ceramics,2026-04-28,Reel,9,0,"New studio opening May 16 2026, bare walls big dreams",https://www.facebook.com/reel/1623000652147493/
