Studio,Platform,Followers,30d Gain,Posts/week,Avg Likes,Avg Comments,Best Format,Most Posted Format,Posts At (Indy)
Kiln Creations,IG,2275,0,67.6 (43.6 FB + 24 IG),4.5,0.4,Reel,Photo,4 PM
uPaint Pottery Studio,IG,3015,11,12.6 (6.3 FB + 6.3 IG),6.2,0.3,Reel,Photo,8 PM
Made In Muncie,IG,1997,0,6.3 (3.3 FB + 3 IG),36,0.5,Carousel,Photo,5 PM
All Fired Up!,IG,1938,2,5.6 (3 FB + 2.6 IG),22.9,0.3,Reel,mixed,2 PM
The Glazed Gypsy,IG,130,-,6 (3 FB + 3 IG),5.9,1.4,Photo,Carousel,12 PM
Color Me Mine,IG,30677,255,1 (0.5 FB + 0.5 IG),79.5,0.3,Reel,mixed,12 PM
Fired Arts Studio (You),IG,526,0,13.5 (9.8 FB + 3.5 IG + 0.2 Threads),3.4,0.8,Photo,Photo,5 AM
Oh Slip Ceramics,FB,~720 (FB page est),-,~3-4 per week (events),-,-,Video,Event flyer,Varies
